Unnamed: 0,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Rural population, female (% of total)","Rural population, male (% of total)","Urban population, female (% of total)","Urban population, male (% of total)",GDP per capita (in USD),Population size
Egypt,15.123,68.253,15.927,4.992,67.39,78.78,28.016905,28.848015,21.767054,21.368027,"4,295.40","110,990,103"
Ethiopia,75.027,86.195,5.277,2.911,44.42338,59.24146,40.152817,40.375168,9.823937,9.648077,"1,027.60","123,379,924"
Ghana,65.297,72.444,4.048,3.699,76.19,84.49,22.783028,23.175838,27.526403,26.51473,"2,175.90","33,475,870"
Kenya,72.723,76.058,5.799,5.209,79.85,85.48,37.532352,36.845707,12.586366,13.035573,"2,099.30","54,027,487"
Morocco,21.436,69.699,12.347,9.924,67.38,84.81,19.91518,19.888674,30.544266,29.651882,"3,527.90","37,457,971"
Rwanda,48.584,61.756,14.311,11.897,73.3,78.7,38.08834,33.10001,13.050125,15.761525,966.3,"13,776,698"
Nigeria,52.088,65.539,5.489,5.973,52.65648,71.25571,26.249973,25.973715,22.821539,24.954775,"2,184.40","218,541,212"
South Africa,50.608,63.565,31.426,28.398,94.53317,95.54537,18.653257,16.5464,32.74882,32.05152,"6,776.50","59,893,885"
